"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","elevation_sim","mineralogy","temp_ds","prec_ds","isot_ds","itps_ds","temp_full","prec_full","isot_full","itps_full","winter_prec"
"183","443","22.38","-83.97","120","mixed","150","1500","0","calcite","28.0796","3.2874","-4.8433","-5.7651","28.0794","3.2815","-4.8411","-5.7584","3.0107"
"10","447","-21.083","-56.583","570","dolomite","10","150","217.6003","aragonite","25.6537","4.9373","-7.502","-9.0913","25.7126","4.9764","-7.5021","-9.0996","9.2397"
"216","461","27.2","106.1667","1120","unknown","NULL","NULL","712.5108","calcite","17.3963","4.7962","-5.3565","-7.3203","17.403","4.8219","-5.3838","-7.3259","1.2454"
"135","464","33.95","-4.246","1260","dolomite","NULL","50","347.1575","aragonite","20.8839","0.9507","-5.2389","-6.5695","20.914","0.95","-5.2526","-6.5703","1.3929"
"198","496","29.48","109.5333","455","limestone","100","NULL","403.8981","aragonite","17.2856","4.6108","-5.4448","-6.7324","17.2969","4.6072","-5.4379","-6.7275","1.4887"
"225","498","-18.1222","-65.7739","2660","limestone","70","200","1836.4955","calcite","17.1046","4.4351","-8.4786","-9.918","17.0853","4.4486","-8.5141","-9.9628","7.8826"
"228","506","32.1","-104.26","1300","unknown","30","NULL","789.2336","calcite","22.151","1.2347","-6.948","-7.2103","22.1365","1.2356","-6.9512","-7.213","0.6034"
"234","512","-24.5308","-48.7267","250","limestone","300","1500","408.9609","calcite","20.7432","3.7751","-7.1413","-7.8771","20.7442","3.776","-7.1436","-7.8782","5.8433"
"235","514","-5.9406","-77.3081","1000","unknown","NULL","NULL","729.1859","calcite","24.4899","5.9038","-7.4837","-8.6552","24.5226","5.8818","-7.4544","-8.6121","7.5286"
"240","522","12.0833","92.75","20","limestone","NULL","15","0","calcite","28.7231","6.7552","-5.8968","-6.9599","28.6915","6.7635","-5.8836","-6.9702","6.0848"
"241","523","-5","120","140","limestone","NULL","300","0","calcite","30.5101","9.8987","-9.2695","-9.8779","30.5335","9.9047","-9.2777","-9.8884","9.2691"
